"RegionName","State","Metro","CountyName","SizeRank","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06"
"New York","NY","New York","Queens",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500,4300,4300,4195,4300,4500,4000,4200,4600,4000,4200,4200,4499,4495,4200,4000,4195,4300,4500,4500,4500,4700,4562.5
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4800,4500,4297.5,4050,4150,4290,3850,3950,3995,4000,4300,4495,4600,4500
"Philadelphia","PA","Philadelphia","Philadelphia",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2497.5,2500,2500,2500,2550,2500,2375,2300,2200,2200,2175,2500,2525,2625,2600,2600,2500,2500,2500,2500,2500,2500,2600,2700,2600,2600,2525,2550,2500,2500,2500
"Las Vegas","NV","Las Vegas","Clark",4,,,,1795,1850,1850,1650,1797.5,1885,1895,1895,1995,1995,1985,1900,1750,1850,1699,1650,1650,1650,1675,1700,1650,1650,1650,1650,1699.5,1700,1700,1700,1695,1700,1712.5,1800,1795,1700,1700,1700,1750,1750,1750,1800,1750,1800,1800,1822.5,1775,1795,1799,1785,1800,1850,1850,1875,1945,1890,1902.5,1900,1800,1832.5,1950,1885,1995,1995,1995,2000,2100
"San Antonio","TX","San Antonio","Bexar",5,,,,,,,,,,,,,,1600,1695,1995,1995,1950,1900,1875,1850,1724.5,1697.5,1500,1595,1700,1800,1775,1800,1825,1875,1995,1995,1800,1850,1897.5,1895,1995,1850,1749,1700,1720,1900,1850,1774.5,1895,1895,1750,1750,1812.5,1900,1749.5,1972.5,1995,1875,1875,1875,1995,1800,1750,1750,1750,1800,1800,1995,2022.5,1749,1995
"San Diego","CA","San Diego","San Diego",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,3747.5,3400,3500,3500,3472.5,3500,4000,4200,3972.5,3997.5,3950,3925,3837.5,4000,3650,3772.5,3497.5,3500,3972.5,4000,3900,3950,3950,3250
"Jacksonville","FL","Jacksonville","Duval",7,,,,,,,,,,,,,,,,,,,,,1662.5,1550,1550,1600,1600,1550,1450,1390,1600,1675,1550,1550,1537.5,1600,1475,1487.5,1600,1700,1550,1487.5,1525,1500,1595,1595,1595,1472.5,1497.5,1425,1437.5,1500,1595,1550,1622.5,1750,1650,1650,1695,1540,1500,1550,1625,1637.5,1600,1650,1825,1772,1675,1895
"Fort Worth","TX","Dallas-Fort Worth","Tarrant",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695,1650,1775,1749,1825,1850,1850,1695,1797.5,1809.5,1812.5,2100,2089,2049,1779,1795,1795,1747.5,1696.5,1697.5,1925
"Boston","MA","Boston","Suffolk",9,,,,,,,,,,,,,,,3900,3600,3750,3800,3900,3800,3800,3750,3900,3799,3750,3900,4100,4000,3900,3900,3800,3800,3800,3700,3750,3900,3925,4000,4200,4150,4150,4150,4000,3900,3800,3800,3850,4000,3900,4200,4400,4300,4200,4000,4000,4000,3900,3900,3875,3800,4000,4250,4500,4500,4400,4300,4200,4100
"Milwaukee","WI","Milwaukee","Milwaukee",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,845,795,795,767,725,686.5,697,650,705,750,750,767,750,742.5,750,750,760,750,750,775,750,745,735,725,750,750,795,750,750,750,745,750,725,750,750,750,765,785
